osm_id,latitude,longitude,type,city_name,city_slug,insee_code,zip_code,department_code,region
10578669291,45.82393,4.949235,poubelle_dejections,Miribel,miribel,01249,01700,01,auvergne-rhone-alpes
10578669292,45.822722,4.951266,poubelle_dejections,Miribel,miribel,01249,01700,01,auvergne-rhone-alpes
9977464783,45.82447,4.954526,distributeur_sacs,Miribel,miribel,01249,01700,01,auvergne-rhone-alpes
9977516468,45.823329,4.95522,distributeur_sacs,Miribel,miribel,01249,01700,01,auvergne-rhone-alpes
10252936959,45.821199,4.949567,poubelle_dejections,Miribel,miribel,01249,01700,01,auvergne-rhone-alpes
10046713271,45.852857,5.057088,distributeur_sacs,Montluel,montluel,01262,01120,01,auvergne-rhone-alpes
10047674398,45.849707,5.053323,distributeur_sacs,Montluel,montluel,01262,01120,01,auvergne-rhone-alpes
9992543707,45.815722,4.931298,distributeur_sacs,Neyron,neyron,01275,01700,01,auvergne-rhone-alpes
6814262940,46.278699,6.084301,distributeur_sacs,Ornex,ornex,01281,01210,01,auvergne-rhone-alpes
10958857458,45.929829,4.9539,distributeur_sacs,Saint-André-de-Corcy,saint-andre-de-corcy,01333,01390,01,auvergne-rhone-alpes
12150112166,46.245977,6.021204,distributeur_sacs,Saint-Genis-Pouilly,saint-genis-pouilly,01354,01630,01,auvergne-rhone-alpes
12150164231,46.246217,6.020968,distributeur_sacs,Saint-Genis-Pouilly,saint-genis-pouilly,01354,01630,01,auvergne-rhone-alpes
12150167613,46.246484,6.020606,distributeur_sacs,Saint-Genis-Pouilly,saint-genis-pouilly,01354,01630,01,auvergne-rhone-alpes
6387233171,45.83087,4.97892,distributeur_sacs,Saint-Maurice-de-Beynost,saint-maurice-de-beynost,01376,01700,01,auvergne-rhone-alpes
6375331803,45.830155,4.979201,distributeur_sacs,Saint-Maurice-de-Beynost,saint-maurice-de-beynost,01376,01700,01,auvergne-rhone-alpes
3215575820,45.959248,5.832233,distributeur_sacs,Seyssel,seyssel,01407,01420,01,auvergne-rhone-alpes
